"title","year","rating","votes","runtime","genre"
"The Twilight Saga: Breaking Dawn - Part 1",2011,4.9,141847,117,"Adventure"
"The Twilight Saga: Eclipse",2010,4.9,144112,124,"Adventure"
"Dredd",2012,7,149225,95,"Action"
"The Dark Knight Rises",2012,8.6,753594,165,"Action"
"Cloud Atlas",2012,7.6,210794,172,"Adventure"
"Inception",2010,8.8,931327,148,"Action"
"Grown Ups",2010,5.9,130952,102,"Comedy"
"The Other Guys",2010,6.6,139436,107,"Action"
"Total Recall",2012,6.3,155966,118,"Action"
"The Hunger Games",2012,7.3,480617,142,"Adventure"
"Taken 2",2012,6.3,145092,92,"Action"
"Transformers: Dark of the Moon",2011,6.4,238527,154,"Action"
"Unknown",2011,6.9,159966,113,"Action"
"True Grit",2010,7.7,186806,110,"Adventure"
"Star Trek Into Darkness",2013,7.9,272221,132,"Action"
"Men in Black 3",2012,6.9,189035,106,"Action"
"No Strings Attached",2011,6.2,118876,108,"Comedy"
"The Hangover Part II",2011,6.5,270968,102,"Comedy"
"Predators",2010,6.4,137701,107,"Action"
"Hansel & Gretel: Witch Hunters",2013,6.1,113367,88,"Action"
"The Wolverine",2013,6.8,187381,126,"Action"
"Rio",2011,7,116302,96,"Animation"
"Battleship",2012,5.9,156293,131,"Action"
"Prometheus",2012,7.1,339420,124,"Adventure"
"Monsters University",2013,7.5,133825,104,"Animation"
"Bridesmaids",2011,6.9,166930,125,"Comedy"
"Oblivion",2013,7,240839,124,"Action"
"The Change-Up",2011,6.4,110399,112,"Comedy"
"Horrible Bosses",2011,6.9,256896,98,"Comedy"
"Sherlock Holmes: A Game of Shadows",2011,7.5,236863,129,"Action"
"Elysium",2013,6.7,194012,109,"Action"
"127 Hours",2010,7.7,208624,94,"Adventure"
"Just Go with It",2011,6.4,124675,117,"Comedy"
"Crazy, Stupid, Love.",2011,7.5,275997,118,"Comedy"
"G.I. Joe: Retaliation",2013,5.9,103584,110,"Action"
"Warm Bodies",2013,7,129637,98,"Comedy"
"Fast Five",2011,7.3,203990,130,"Action"
"This Means War",2012,6.4,109220,103,"Action"
"Safe House",2012,6.8,125071,115,"Action"
"The Grey",2011,6.8,155699,117,"Action"
"American Reunion",2012,6.8,137312,113,"Comedy"
"Midnight in Paris",2011,7.7,219955,94,"Comedy"
"A Good Day to Die Hard",2013,5.4,123837,98,"Action"
"Abraham Lincoln: Vampire Hunter",2012,6,100839,105,"Action"
"Oz the Great and Powerful",2013,6.4,135860,130,"Adventure"
"Friends with Benefits",2011,6.6,182271,109,"Comedy"
"Project X",2012,6.7,119215,88,"Comedy"
"In Time",2011,6.6,213311,109,"Action"
"Ted",2012,7.1,321504,106,"Comedy"
"The Dictator",2012,6.4,157623,83,"Comedy"
"Wrath of the Titans",2012,5.8,117567,99,"Action"
"Kick-Ass 2",2013,6.8,115230,103,"Action"
"The Artist",2011,8,145446,100,"Comedy"
"Pacific Rim",2013,7.1,233835,131,"Action"
"The Twilight Saga: Breaking Dawn - Part 2",2012,5.6,133930,115,"Adventure"
"Despicable Me 2",2013,7.6,168167,98,"Animation"
"We're the Millers",2013,7.1,170359,110,"Comedy"
"Snow White and the Huntsman",2012,6.2,172153,127,"Adventure"
"Moonrise Kingdom",2012,7.8,160434,94,"Comedy"
"The Expendables 2",2012,6.8,179914,103,"Action"
"Wreck-It Ralph",2012,7.8,167471,108,"Animation"
"After Earth",2013,5,108264,100,"Action"
"Django Unchained",2012,8.5,568931,165,"Adventure"
"Fast & Furious 6",2013,7.2,196463,130,"Action"
"Seven Psychopaths",2012,7.2,134215,110,"Comedy"
"The Hangover Part III",2013,5.9,129218,100,"Comedy"
"The Hunger Games: Catching Fire",2013,7.9,267200,146,"Adventure"
"Rush",2013,8.3,140946,123,"Action"
"Thor: The Dark World",2013,7.3,195634,112,"Action"
"Pitch Perfect",2012,7.3,123857,112,"Comedy"
"Don Jon",2013,6.8,105210,90,"Comedy"
"Frozen",2013,7.9,166804,102,"Animation"
"Olympus Has Fallen",2013,6.5,132564,119,"Action"
